placer,width,height,fan_out,distance_sd,runtime,placed_net_length,manual_net_length,placed_total_entries,manual_total_entries,placed_max_entries,manual_max_entries
sa,9,9,4,3.0,0.0387299060822,215,278,215,278,55,59
sa,12,12,4,3.0,0.113355875015,455,513,455,513,61,63
sa,16,16,4,3.0,0.212411880493,925,976,898,953,68,72
rcm,24,24,4,3.0,0.018728017807,3926,2380,3199,2278,133,81
rand,24,24,4,3.0,0.0188481807709,4179,2355,3389,2233,119,81
hilbert,16,16,4,3.0,0.00783896446228,1170,985,1107,966,84,71
rcm,32,32,4,3.0,0.0306160449982,8621,4204,6269,4029,160,79
hilbert,48,48,4,3.0,0.054939031601,22460,9635,13250,9154,129,79
hilbert,32,32,4,3.0,0.0285749435425,7474,4165,5511,3974,117,76
rand,9,9,4,3.0,0.00165104866028,319,284,319,284,46,58
sa,9,9,4,3.0,0.0385370254517,222,266,222,266,47,55
rcm,12,12,4,3.0,0.00545787811279,562,509,562,509,85,63
sa,12,12,4,3.0,0.109198093414,445,503,445,503,56,61
rcm,16,16,4,3.0,0.00882506370544,1254,1008,1187,992,97,72
sa,32,32,4,3.0,1.22614192963,4140,4118,3734,3963,73,79
rand,24,24,4,3.0,0.0182721614838,4209,2299,3382,2201,117,73
sa,9,9,4,3.0,0.0268149375916,226,274,226,274,48,61
hilbert,9,9,4,3.0,0.00213003158569,245,269,245,269,59,59
hilbert,32,32,4,3.0,0.0284719467163,7708,4200,5569,3989,115,80
rcm,9,9,4,3.0,0.00224590301514,263,270,263,270,58,56
sa,24,24,4,3.0,0.570748090744,2188,2364,2070,2256,74,78
hilbert,12,12,4,3.0,0.00469899177551,527,513,527,513,70,72
rcm,12,12,4,3.0,0.00317192077637,551,495,551,495,79,63
sa,12,12,4,3.0,0.081246137619,449,509,449,509,59,63
rand,9,9,4,3.0,0.000998973846436,316,279,316,279,64,58
rand,12,12,4,3.0,0.0018630027771,562,516,562,516,72,69
sa,16,16,4,3.0,0.17872595787,940,966,919,953,76,72
rand,64,64,4,3.0,0.0914700031281,73224,16865,32001,16064,169,77
rand,48,48,4,3.0,0.0614352226257,31334,9556,16914,9108,143,82
hilbert,16,16,4,3.0,0.00539803504944,1160,1006,1108,991,94,72
rand,16,16,4,3.0,0.00318312644958,1314,991,1255,969,91,70
rcm,16,16,4,3.0,0.00650906562805,1256,1022,1185,998,108,72
hilbert,24,24,4,3.0,0.0141208171844,3590,2346,2945,2239,106,73
rcm,24,24,4,3.0,0.0125799179077,3900,2366,3210,2263,162,75
hilbert,64,64,4,3.0,0.0802710056305,46950,16768,24423,16031,134,79
rcm,9,9,4,3.0,0.00345301628113,262,280,262,280,63,55
rand,24,24,4,3.0,0.0120198726654,4170,2352,3385,2243,125,77
hilbert,12,12,4,3.0,0.00654292106628,527,521,527,521,77,64
hilbert,16,16,4,3.0,0.00811195373535,1191,1007,1132,985,81,76
sa,24,24,4,3.0,0.571787118912,2177,2387,2065,2271,76,82
sa,16,16,4,3.0,0.216042995453,916,963,890,953,68,72
hilbert,24,24,4,3.0,0.0177118778229,3526,2346,2895,2258,101,76
hilbert,32,32,4,3.0,0.0216171741486,7288,4218,5389,4036,111,79
rcm,32,32,4,3.0,0.0217490196228,8626,4213,6256,4022,165,78
rand,32,32,4,3.0,0.0217070579529,9599,4122,6707,3957,126,78
rcm,48,48,4,3.0,0.0280199050903,26605,9479,15435,9050,188,77
rcm,64,64,4,3.0,0.0854308605194,60161,17116,28943,16243,203,86
hilbert,48,48,4,3.0,0.0428850650787,22426,9467,13361,9048,142,81
hilbert,48,48,4,3.0,0.0550389289856,22411,9524,13214,9111,134,77
rcm,48,48,4,3.0,0.0449030399323,26490,9468,15441,8994,201,76
sa,32,32,4,3.0,1.20182299614,3829,4150,3617,3967,69,82
rand,48,48,4,3.0,0.0484948158264,31564,9482,16882,9055,146,75
rcm,96,96,4,3.0,0.195929050446,195475,38373,69835,36562,209,84
hilbert,64,64,4,3.0,0.0753300189972,46907,17025,24297,16209,144,80
rcm,64,64,4,3.0,0.0797688961029,60623,16977,29087,16189,205,82
rand,64,64,4,3.0,0.087944984436,73012,16812,31896,16024,173,78
rand,96,96,4,3.0,0.254400014877,241876,38454,76850,36583,183,82
sa,48,48,4,3.0,3.92829799652,9727,9440,8563,9014,79,77
hilbert,96,96,4,3.0,0.189182043076,138661,38063,55993,36278,148,83
rand,96,96,4,3.0,0.257427215576,243059,38393,76896,36573,187,83
hilbert,96,96,4,3.0,0.189779996872,137358,38108,56238,36280,150,82
hilbert,128,128,4,3.0,0.308766841888,280838,68186,101306,65008,163,84
rcm,96,96,4,3.0,0.196556091309,197185,38234,70296,36432,212,81
sa,64,64,4,3.0,9.1125330925,18524,16939,15570,16144,88,79
rand,96,96,4,3.0,0.252822875977,242844,38287,76931,36438,184,80
hilbert,128,128,4,3.0,0.309814929962,270478,68045,99832,64866,158,81
rcm,128,128,4,3.0,0.241474866867,456625,68394,129413,65149,265,85
hilbert,128,128,4,3.0,0.306699991226,279252,68376,101075,65032,155,82
rcm,128,128,4,3.0,0.34464597702,457326,67969,129291,64719,229,86
sa,64,64,4,3.0,9.10671710968,18598,16970,15533,16175,97,81
rcm,128,128,4,3.0,0.339187145233,455863,67957,129188,64653,235,84
rand,128,128,4,3.0,0.516331911087,570449,68222,141882,64985,219,85
sa,9,9,4,3.0,0.0289628505707,208,279,208,279,53,59
hilbert,9,9,4,3.0,0.00188803672791,246,287,246,287,55,63
rcm,9,9,4,3.0,0.00193095207214,255,273,255,273,63,58
rand,9,9,4,3.0,0.000947952270508,322,273,322,273,52,54
sa,12,12,4,3.0,0.0815320014954,439,490,439,490,62,69
hilbert,12,12,4,3.0,0.00391292572021,508,516,508,516,68,77
rcm,12,12,4,3.0,0.00321078300476,535,502,535,502,78,70
rand,12,12,4,3.0,0.00174713134766,573,490,573,490,71,63
sa,16,16,4,3.0,0.19572520256,966,985,931,968,69,70
hilbert,16,16,4,3.0,0.00523400306702,1198,1002,1145,982,88,69
rcm,16,16,4,3.0,0.00546002388,1271,995,1203,975,121,73
rand,16,16,4,3.0,0.0032069683075,1303,1013,1239,996,94,83
sa,24,24,4,3.0,0.551832914352,2232,2330,2063,2216,69,75
hilbert,24,24,4,3.0,0.0121409893036,3502,2287,2892,2184,98,74
rcm,24,24,4,3.0,0.01238489151,3864,2332,3174,2231,141,75
rand,24,24,4,3.0,0.0119650363922,4186,2362,3380,2236,111,76
hilbert,192,192,4,3.0,0.777484178543,789394,153162,231540,145835,166,82
hilbert,32,32,4,3.0,0.0208849906921,7573,4242,5508,4022,108,75
sa,32,32,4,3.0,1.20597720146,3779,4193,3585,4002,82,75
rcm,32,32,4,3.0,0.0209898948669,8612,4214,6319,4033,157,82
rand,32,32,4,3.0,0.0215029716492,9622,4106,6721,3945,135,80
hilbert,48,48,4,3.0,0.0451171398163,22736,9672,13397,9199,125,78
sa,96,96,4,3.0,29.6134159565,42769,38321,35214,36595,86,85
rcm,48,48,4,3.0,0.0436809062958,26616,9532,15560,9062,198,81
sa,96,96,4,3.0,29.3986389637,43882,38060,35482,36230,96,82
rand,48,48,4,3.0,0.0501990318298,31170,9537,16814,9121,148,83
sa,48,48,4,3.0,3.94048404694,8660,9463,8247,9026,74,81
hilbert,64,64,4,3.0,0.0756411552429,47698,16865,24465,16073,139,82
rcm,64,64,4,3.0,0.0787408351898,60915,16998,29091,16171,195,82
rand,64,64,4,3.0,0.0879011154175,72898,16984,31957,16142,158,83
rcm,192,192,4,3.0,0.830612897873,1520541,153359,299564,145931,250,82
rcm,192,192,4,3.0,0.82599902153,1517769,153297,299690,146114,283,83
hilbert,96,96,4,3.0,0.189532995224,139438,38440,56653,36574,143,82
sa,64,64,4,3.0,9.15406608582,17035,16935,15164,16182,82,81
rcm,96,96,4,3.0,0.200666189194,196022,38326,69841,36494,239,83
rand,192,192,4,3.0,2.26184082031,1923455,153408,327889,146125,224,85
rand,96,96,4,3.0,0.250601053238,241435,38261,76839,36459,183,83
hilbert,256,256,4,3.0,1.37703514099,1541974,273229,408014,259992,176,85
rand,192,192,4,3.0,2.27937316895,1924269,153391,328068,146024,222,84
hilbert,128,128,4,3.0,0.30643415451,276088,68162,100490,64850,146,81
rcm,128,128,4,3.0,0.340881109238,455783,68102,129161,64853,236,84
rand,128,128,4,3.0,0.515928030014,571006,68276,142188,64983,202,82
sa,128,128,4,3.0,66.010144949,77162,68109,62188,64929,90,84
sa,96,96,4,3.0,29.6761469841,42628,38079,35218,36229,89,82
hilbert,192,192,4,3.0,0.780030965805,748338,153251,226455,145875,151,84
sa,128,128,4,3.0,67.3972809315,82094,68374,64370,65047,93,84
sa,128,128,4,3.0,67.5577111244,80712,68128,63828,64882,90,82
rcm,256,256,4,3.0,1.53350996971,3723786,273470,538251,260463,320,83
rcm,192,192,4,3.0,0.832751989365,1525426,153759,299693,146342,283,88
rcm,256,256,4,3.0,1.51961994171,3736273,272917,538736,259820,308,85
rand,192,192,4,3.0,2.30593800545,1929425,153632,328413,146162,237,85
hilbert,256,256,4,3.0,1.37537097931,1537411,273461,408447,260149,165,85
rand,256,256,4,3.0,5.88027310371,4795871,272996,579098,259952,212,87
sa,128,128,4,3.0,66.5458700657,74174,68111,61744,64956,88,86
rand,256,256,4,3.0,4.91479086876,4808035,273421,579593,260220,214,83
hilbert,384,384,4,3.0,3.24794888496,4287772,615058,913993,585436,185,85
hilbert,384,384,4,3.0,3.26472687721,4288232,614318,912508,584783,173,89
rcm,256,256,4,3.0,1.53539800644,3727917,273251,538104,260026,302,82
rand,256,256,4,3.0,5.06764602661,4805451,272758,579380,259842,213,88
hilbert,384,384,4,3.0,3.21280789375,4317297,614601,911436,585176,171,84
sa,9,9,4,3.0,0.0307760238647,215,270,215,270,50,57
hilbert,9,9,4,3.0,0.00172686576843,243,283,243,283,57,56
rcm,9,9,4,3.0,0.00200796127319,271,275,271,275,58,58
rand,9,9,4,3.0,0.000984907150269,315,262,315,262,43,55
sa,12,12,4,3.0,0.0800940990448,457,525,457,525,57,72
hilbert,12,12,4,3.0,0.00386691093445,528,541,528,541,79,72
rcm,12,12,4,3.0,0.00330805778503,538,517,538,517,82,65
rand,12,12,4,3.0,0.00180196762085,576,506,576,506,71,64
sa,16,16,4,3.0,0.176137924194,932,978,903,955,78,72
hilbert,16,16,4,3.0,0.00503396987915,1176,1014,1132,997,86,74
rcm,16,16,4,3.0,0.00565886497498,1255,1010,1190,988,110,76
rand,16,16,4,3.0,0.00327801704407,1313,1033,1250,1006,87,75
sa,24,24,4,3.0,0.537474155426,2161,2336,2051,2232,70,78
hilbert,24,24,4,3.0,0.0119597911835,3517,2327,2890,2222,106,76
rcm,24,24,4,3.0,0.0132761001587,3872,2311,3216,2213,146,74
rand,24,24,4,3.0,0.0120542049408,4198,2408,3379,2282,109,75
sa,32,32,4,3.0,1.20497179031,3836,4218,3645,4009,70,81
hilbert,32,32,4,3.0,0.0201849937439,7603,4145,5552,3959,106,78
rcm,32,32,4,3.0,0.0215721130371,8637,4242,6206,4059,168,76
rand,32,32,4,3.0,0.0210390090942,9667,4166,6690,3983,132,73
sa,48,48,4,3.0,3.95259213448,9995,9583,8615,9106,80,78
hilbert,48,48,4,3.0,0.0439100265503,22909,9627,13516,9172,132,78
rcm,48,48,4,3.0,0.0435309410095,26848,9569,15472,9093,191,84
rand,48,48,4,3.0,0.0476441383362,31628,9485,17048,9059,149,78
hilbert,512,512,4,3.0,6.03915309906,8513491,1094206,1619513,1041531,184,85
sa,64,64,4,3.0,9.17511296272,18063,16989,15388,16154,90,78
